Titulo da reportagem,Veículo de imprensa,data,resumo,Instituição que efetuou a apreensao,localidade onde foi encontrado o plantio,município,Estado,Quantidade de pés encontrados,quantidade prensada (embalada),Sementes,Pessoas presas por sexo,armas apreendidas,plantio estava em área pública ou particular,Link de acesso,Observações,codigo_ibge,municipio_ibge,estado_ibge
Plantação de maconha é destruída no nordeste do Pará,G1 - site de notícias,12/3/2015,"Mais de 500g de maconha em formato natural foram apreendidas, além de adubos usados na plantação, 2kg de galhos da planta, um pulverizador e uma espingarda calibre 36 com seis munições intactas.",PC,Rural,Maracanã,Pará,2kg de galhos da planta,500g em formato natural,X,Dois homens (pai e filho),1,Sem informações,https://g1.globo.com/pa/para/noticia/2015/12/plantacao-de-maconha-e-destruida-no-nordeste-do-para.html,,1504307.0,Maracanã,Pará
Polícia Federal destrói 48 mil pés de maconha no sertão pernambucano,Agência Brasil - site de notícias,2/13/2017,"A Polícia Federal (PF) destruiu 48 mil pés de maconha e 53 mil mudas da planta em ilhas da União, localizadas no Rio São Francisco. A Operação Carcará Branco foi deflagrada na semana passada, mas o resultado foi divulgado nesse domingo (12). De acordo com a PF, ninguém foi preso.",PF (Operação Carcará Branco),Rural ,"Orocó, Cabrobó",Pernambuco,48 mil pés e 53 mil mudas,10kg,X,X,X,"Pública (ilhas da União, localizadas no Rio São Francisco)",https://agenciabrasil.ebc.com.br/geral/noticia/2017-02/policia-federal-destroi-48-mil-pes-de-maconha-no-sertao-pernambucano,"Segundo nota divulgada pela assessoria de comunicação da Polícia Federal em Pernambuco, como as ilhas, localizadas nos municípios de Orocó, Cabrobó e Ibó, são pertencentes à União, os produtores se aproveitariam desse fato para plantar - assim, não há proprietário a ser incriminado. ""Nessas operações, geralmente ninguém é preso porque quando se monta toda a logística com viaturas e policiais no local, os trabalhadores braçais saem dos terrenos porque são avisados"", diz a nota. ""O objetivo da operação é evitar que maconha seja vendida no mercado consumidor"".",2609808.0,Orocó,Pernambuco
Polícia Federal destrói 48 mil pés de maconha no sertão pernambucano,Agência Brasil - site de notícias,2/13/2017,"A Polícia Federal (PF) destruiu 48 mil pés de maconha e 53 mil mudas da planta em ilhas da União, localizadas no Rio São Francisco. A Operação Carcará Branco foi deflagrada na semana passada, mas o resultado foi divulgado nesse domingo (12). De acordo com a PF, ninguém foi preso.",PF (Operação Carcará Branco),Rural ,"Orocó, Cabrobó",Pernambuco,48 mil pés e 53 mil mudas,10kg,X,X,X,"Pública (ilhas da União, localizadas no Rio São Francisco)",https://agenciabrasil.ebc.com.br/geral/noticia/2017-02/policia-federal-destroi-48-mil-pes-de-maconha-no-sertao-pernambucano,"Segundo nota divulgada pela assessoria de comunicação da Polícia Federal em Pernambuco, como as ilhas, localizadas nos municípios de Orocó, Cabrobó e Ibó, são pertencentes à União, os produtores se aproveitariam desse fato para plantar - assim, não há proprietário a ser incriminado. ""Nessas operações, geralmente ninguém é preso porque quando se monta toda a logística com viaturas e policiais no local, os trabalhadores braçais saem dos terrenos porque são avisados"", diz a nota. ""O objetivo da operação é evitar que maconha seja vendida no mercado consumidor"".",2603009.0,Cabrobó,Pernambuco
"Polícia localiza plantação ilegal de maconha em Tailândia, no nordeste do Pará",G1 - site de notícias,11/16/2017,"A Polícia localizou uma plantação de maconha no município de Tailândia, no nordeste do Pará. Segundo informações divulgadas nesta quinta-feira (16) a ação resultou na prisão de uma mulher e na apreensão de várias armas, munições, três motocicletas e objetos roubados.","Sem informações (""polícia"")",Rural,Tailândia,Pará,Sem informações (barracões montados no local para o plantio),Sem informações (diversas porções da maconha prensada prontas para comercialização),X,1 mulher (e outros suspeitos fugiram),Sem informações (apreensão de várias armas),Sem informações (área a 63 km do centro do município ),https://g1.globo.com/pa/para/noticia/policia-localiza-plantacao-ilegal-de-maconha-em-tailandia-no-nordeste-do-para.ghtml,,1507953.0,Tailândia,Pará
Plantação com mais de 3 mil pés de maconha é encontrada no Amazonas,ACrítica.com - site de notícias,9/24/2019,"Uma plantação com mais de três mil pés de maconha foi encontrada pelo Batalhão da Polícia Militar do Amazonas (PMAM), na manhã desta quarta-feira), na vicinal Matupi, localizada no km 10, na comunidade de Santo Antônio do Matupi, no município de Manicoré (distante 332 quilômetros de Manaus).",4° Batalhão da PMAM,Rural,Manicoré,Amazonas,Mais de 3 mil,X,X,1 homem,X,"Pública (vicinal Matupi, km 10)",https://www.acritica.com/policia/plantac-o-com-mais-de-3-mil-pes-de-maconha-e-encontrada-no-amazonas-1.63676,,1302702.0,Manicoré,Amazonas
Polícia erradica 146 mil pés de maconha no sertão de Pernambuco,200 anos Diário de Pernambuco - site de notícias,6/7/2020,"As polícias Federal, Rodoviária Federal e Militar informaram ter erradicado 146 mil pés de maconha no Sertão de Pernambuco. Segundo a PF, as plantações poderiam produzir 48,7 toneladas da droga. A polícia informou que deteve 11 pessoas durante a operação. As ações ocorreram em Cabrobó e Belém de São Francisco.","BEPI-PM, PF e PRF (Operações Macambira V e Muçambê II)",Rural,Cabrobó e Belém do São Francisco,Pernambuco,146 mil,"81,5kg",X,11 pessoas (sem informações sobre o sexo),X,Sem informações (48 roças),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2020/06/policia-erradica-146-mil-pes-de-maconha-no-sertao-de-pernambuco.html,"A polícia localizou as plantações a partir de levantamentos da Base de Operações Aéreas da PRF e de investigação da PF. Os agentes informaram que identificaram 48 roças com características da planta cannabis sativa. Os policiais também atuaram nas rodovias federais do Sertão. A PF afirma que foram fiscalizados 259 veículos e 256 pessoas, apreendidos 81,5 Kg de maconha embalada, além de dois carros roubados e R$ 1.142,00.",2603009.0,Cabrobó,Pernambuco
Polícia erradica 146 mil pés de maconha no sertão de Pernambuco,200 anos Diário de Pernambuco - site de notícias,6/7/2020,"As polícias Federal, Rodoviária Federal e Militar informaram ter erradicado 146 mil pés de maconha no Sertão de Pernambuco. Segundo a PF, as plantações poderiam produzir 48,7 toneladas da droga. A polícia informou que deteve 11 pessoas durante a operação. As ações ocorreram em Cabrobó e Belém de São Francisco.","BEPI-PM, PF e PRF (Operações Macambira V e Muçambê II)",Rural,Cabrobó e Belém do São Francisco,Pernambuco,146 mil,"81,5kg",X,11 pessoas (sem informações sobre o sexo),X,Sem informações (48 roças),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2020/06/policia-erradica-146-mil-pes-de-maconha-no-sertao-de-pernambuco.html,"A polícia localizou as plantações a partir de levantamentos da Base de Operações Aéreas da PRF e de investigação da PF. Os agentes informaram que identificaram 48 roças com características da planta cannabis sativa. Os policiais também atuaram nas rodovias federais do Sertão. A PF afirma que foram fiscalizados 259 veículos e 256 pessoas, apreendidos 81,5 Kg de maconha embalada, além de dois carros roubados e R$ 1.142,00.",2601607.0,Belém do São Francisco,Pernambuco
Plantação com 54 pés de maconha é localizada após denúncias em Maranguape,Diário do Nordeste - site de notícias,6/23/2020,"Uma plantação de maconha foi descoberta em uma casa na Serra do Lagedo, no distrito de Itapebussu, em Maranguape, Região Metropolitana de Fortaleza. O proprietário da residência conseguiu fugir. Uma denúncia ajudou a polícia a encontrar a plantação",PCCE,Rural,Maranguape,Ceará,54 pés (alguns já plantados e outros ensacados),X,X,Sem informações (proprietário foragido),X,Particular (casa),https://diariodonordeste.verdesmares.com.br/seguranca/plantacao-com-54-pes-de-maconha-e-localizada-apos-denuncias-em-maranguape-1.2958518,"Ainda segundo a polícia, também foram apreendidos produtos químicos e adubos para conservação da maconha.",2307700.0,Maranguape,Ceará
PM apreende cerca de 15 mil pés de maconha na zona rural de Nova Esperança do Piriá,Agência Pará - site de notícias,7/9/2020,"Cerca de 15 mil pés de maconha foram apreendidos, na madrugada desta quarta-feira (8), na zona rural de Nova Esperança do Piriá, região nordeste do Estado. Seis quilos de sementes da mesma droga também foram apreendidos durante a ação realizada por policiais militares da 10ª Companhia Independente de Polícia Militar (10ª CIPM).",PMPA (10ª CIPM),Rural ,Nova Esperança do Piriá,Pará,Cerca de 15 mil,X,6kg,X,X,Sem informações (vilarejo de Água Preta),https://www.agenciapara.com.br/noticia/20668/pm-apreende-cerca-de-15-mil-pes-de-maconha-na-zona-rural-de-nova-esperanca-do-piria,"Em um local de difícil acesso, foram encontrados cerca de 15 mil pés de maconha, seis quilos de sementes da mesma substância, baldes, redes e lonas, que eram utilizadas durante o processo de produção da droga. Os homens fugiram do local.",1504950.0,Nova Esperança do Piriá,Pará
"Homem é capturado com plantação de maconha e espingarda em Jardim, sul do Ceará",Diário do Nordeste - site de notícias,10/27/2020,"O dono de uma casa foi preso com vários pés de maconha, uma espingarda artesanal e munições calibre 12, no município de Jardim, na região do Cariri. O preso foi identificado como Juarez Coelho de Oliveira, de 38 anos, e não possui antecedentes criminais, segundo a Secretaria da Segurança Pública e Defesa Social do Ceará (SSPDS).",PCCE,Rural,Jardim,Ceará,"Sem informações (""vários pés de maconha"")",X,X,"1 homem (Juarez Coelho de Oliveira, de 38 anos)",1,Particular (casa de Juarez),https://diariodonordeste.verdesmares.com.br/seguranca/homem-e-capturado-com-plantacao-de-maconha-e-espingarda-em-jardim-sul-do-ceara-1.3004603,,2307106.0,Jardim,Ceará
Mudas de maconha cultivadas em propriedade agrícola são apreendidas pela PM em Maranguape,Diário do Nordeste - site de notícias,12/23/2020,"A Polícia Militar apreendeu 28 mudas de maconha em uma plantação no município de Maranguape, na Região Metropolitana de Fortaleza, nesta terça-feira (22). A polícia faz buscas para capturar o responsável pelo plantio.",PM,Rural,Maranguape,Ceará,28 mudas,X,X,X,X,Particular (propriedade agrícola na localidade de Serra do Lajedo),https://diariodonordeste.verdesmares.com.br/seguranca/mudas-de-maconha-cultivadas-em-propriedade-agricola-sao-apreendidas-pela-pm-em-maranguape-1.3025781,,2307700.0,Maranguape,Ceará
Erradicada plantação de maconha avaliada em R$ 32 milhões,ba.gov.br - site de notícias,2/11/2021,"Uma operação da Delegacia de Tóxicos e Entorpecentes e da Delegacia Territorial (DT) de Irecê localizou e erradicou, na quarta-feira (10), 48 mil pés de maconha na localidade conhecida como Baixa Branca, no município de João Dourado. De acordo com a investigação, quando colhida, a droga seria vendida por até R$ 32 milhões.","Delegacia de Tóxicos e Entorpecentes e da Delegacia Territorial (DT) de Irecê, equipes de João Dourado, Morro do Chapéu e Cafarnaum",Rural,João Dourado,Bahia,48 mil,X,X,1 homem,X,Particular (1 roça em uma localidade conhecida como Baixa Branca),https://www.ba.gov.br/ssp/2021/02/11/erradicada-plantacao-de-maconha-avaliada-em-r%24-32-milhoes,,2918357.0,João Dourado,Bahia
Polícia Militar localiza plantação de 25 mil pés de maconha no nordeste do Pará,G1 - site de notícias,2/15/2021,"A Polícia Militar localizou uma plantação com cerca de 25 mil pés de maconha no município de Tailândia, no nordeste do Estado, no domingo (14). Os militares incineraram a maior parte da droga no local.",PMPA,Rural,Tailândia,Pará,Cerca de 25 mil,X,Encontrada garrafa com 2l de sementes,Sem informações (2 homens suspeitos fugiram),Sem informações,"Sem informações (vicinal ""Pão Torrado"")",https://g1.globo.com/pa/para/noticia/2021/02/15/policia-militar-localiza-plantacao-de-25-mil-pes-de-maconha-no-nordeste-do-para.ghtml,"Equipes da Polícia Militar foram até a vicinal 'Pão Torrado', que fica na zona rural de Tailândia, após receberem a informação de que havia uma grande plantação de maconha naquela área.",1507953.0,Tailândia,Pará
"Operação erradica plantios de maconha em Betânia, Sertão de Pernambuco",200 anos Diário de Pernambuco - site de notícias,2/17/2021,"Na primeira abordagem, por volta das 5h, a cerca de 18km do Centro da cidade de Betânia, as equipes localizaram 11.680 pés da droga, que foram incinerados no local. Já no caminho de volta, em torno do meio-dia, já a apenas 6km da área urbana, foi descoberto mais um roçado com 340 pés do entorpecente, que também foram incinerados. Ambos os casos tiveram os procedimentos concluídos na Delegacia de Polícia Federal de Salgueiro.",PMPE e PF (Operação Fusarium),Rural,Betânia,Pernambuco,12.020,X,X,X,X,Sem informações (roçados),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2021/02/operacao-erradica-plantios-de-maconha-em-betania-sertao-de-pernambuco.html,,2601805.0,Betânia,Pernambuco
PM erradica plantação de maconha com mais de 12 mil pés no interior de Pernambuco,200 anos Diário de Pernambuco - site de notícias,6/20/2021,"Foi encontrada uma roça de maconha, com aproximadamente 12 mil pés e 50 dias de plantio. Um suspeito, de 24 anos, foi encontrado no local e afirmou ser proprietário da plantação, juntamente um outro homem, que não foi localizado.",7º BPM e PC,Rural,Santa Filomena,Pernambuco,12 mil ,100g de droga semelhante à maconha,200g,"Sem informações (2 homens, um de 24 anos, são os proprietários)",X,Particular (Sítio São Joaquim),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2021/06/pm-erradica-plantacao-de-maconha-com-mais-de-12-mil-pes-no-interior.html,"Durante a ação, foram apreendidos, no local, 500 metros de mangueira; uma motocicleta; duas balanças; um motor bomba; 100 gramas de substância análoga à maconha e duzentos gramas de sementes da mesma droga. A ocorrência foi apresentada na Delegacia de Polícia Civil de Ouricuri para adoção das medidas legais cabíveis.",2612554.0,Santa Filomena,Pernambuco
Polícia destrói plantação de maconha e prende homem de 54 anos em flagrante no Ceará,Diário do Nordeste - site de notícias,6/30/2021,"Os policiais destruíram mais de 500 pés de maconha e apreenderam 37 maconha prensada, 1 kg de cocaína e uma pequena porção de crack, segundo a Secretaria da Segurança Pública e Defesa Social (SSPDS).",PC,Rural,Caririaçu,Ceará,500,37kg,X,1 homem de 54 anos,X,Particular (sítio),https://diariodonordeste.verdesmares.com.br/seguranca/policia-destroi-plantacao-de-maconha-e-prende-homem-de-54-anos-em-flagrante-no-ceara-1.3103970,,2303204.0,Caririaçu,Ceará
PF deflagra operação com tráfico de drogas no MA e destrói 95 mil pés de maconha,CNN Brasil  - site de notícias,8/5/2021,"Foram incinerados 95 mil pés de maconha, além de 11.580 mudas e 9 mil sementes da planta encontradas nas terras indígenas do Alto Turiaçu e Alto Rio Guamá, no Maranhão. Quase 500 quilos de maconha prontos para o tráfico também foram encontrados no local, segundo os agentes. Somando pés, mudas, sementes e plantas já colhidas, a PF incinerou cerca de 32 toneladas do material apreendido.","PF (operação Fusarium), Ibama e militares do Corpo de Bombeiros Militar Estado do Maranhão",Rural,Alto Turiaçu e Alto Rio Guamá,Maranhão,95 mil e 11.580 mudas ,500kg,9 mil,X,X,Pública (terras indígenas),https://www.cnnbrasil.com.br/nacional/pf-deflagra-operacao-com-trafico-de-drogas-no-ma-e-destroi-95-mil-pes-de-maconha/,,,,
PF deflagra operação com tráfico de drogas no MA e destrói 95 mil pés de maconha,CNN Brasil  - site de notícias,8/5/2021,"Foram incinerados 95 mil pés de maconha, além de 11.580 mudas e 9 mil sementes da planta encontradas nas terras indígenas do Alto Turiaçu e Alto Rio Guamá, no Maranhão. Quase 500 quilos de maconha prontos para o tráfico também foram encontrados no local, segundo os agentes. Somando pés, mudas, sementes e plantas já colhidas, a PF incinerou cerca de 32 toneladas do material apreendido.","PF (operação Fusarium), Ibama e militares do Corpo de Bombeiros Militar Estado do Maranhão",Rural,Alto Turiaçu e Alto Rio Guamá,Maranhão,95 mil e 11.580 mudas ,500kg,9 mil,X,X,Pública (terras indígenas),https://www.cnnbrasil.com.br/nacional/pf-deflagra-operacao-com-trafico-de-drogas-no-ma-e-destroi-95-mil-pes-de-maconha/,,,,
Operação da Polícia Federal destrói plantações com até uma tonelada de maconha no Pará,O Liberal - site de notícias,8/7/2021,"A  Operação Fusarium, da Polícia Federal, localizou e erradicou duas plantações com cerca de três mil pés de maconha, o equivalente a uma tonelada, no começo da tarde deste sábado, 7. Com apoio da Polícia Militar, do Corpo de Bombeiros e do Grupamento Aéreo de Segurança Pública (Graesp), os 40 policiais federais fizeram incursões por meio aéreo e terrestre na região de Nova Esperança do Piriá, nordeste paraense.","PF, Corpo de Bombeiros e do Grupamento Aéreo de Segurança Pública (Graesp) - Operação Fusarium",Rural,Nova Esperança do Piriá,Pará,Cerca de 3 mil,X,X,X,X,Particular (roça),https://www.oliberal.com/policia/operacao-da-policia-federal-destroi-plantacoes-com-ate-uma-tonelada-de-maconha-no-para-1.419831,,1504950.0,Nova Esperança do Piriá,Pará
