Titulo da reportagem;data;municipio_lista
PF deflagra operação com tráfico de drogas no MA e destrói 95 mil pés de maconha;08/05/2021;Alto Turiaçu
PF deflagra operação com tráfico de drogas no MA e destrói 95 mil pés de maconha;08/05/2021;Alto Rio Guamá
PF deflagra operação com tráfico de drogas no MA e destrói 95 mil pés de maconha;08/05/2021;Alto Turiaçu
PF deflagra operação com tráfico de drogas no MA e destrói 95 mil pés de maconha;08/05/2021;Alto Rio Guamá
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;Droga veio   Belém
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;com destino para Fortaleza
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;Droga veio   Belém
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;com destino para Fortaleza
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;Droga veio   Belém
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;com destino para Fortaleza
Polícia encontra estufa com plantação de 300 pés de maconha no Complexo da Maré;7/23/2025;Rio   Janeiro
'Fazenda da maconha' com 6 mil pés espanta polícia pelo profissionalismo: 'É surpreendente';7/30/2025;Região do Patrocínio
'Fazenda da maconha' com 6 mil pés espanta polícia pelo profissionalismo: 'É surpreendente';7/30/2025;Região do Patrocínio
PF destrói milhares de pés de maconha em três estados do Nordeste ;08/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;08/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;08/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;08/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;08/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;08/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;08/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;08/11/2025;localidades do Piauí
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
Plantação de maconha com sistema de energia solar é destruída pela polícia na Bahia;8/19/2025;Brotas   Macaúbas
Fazenda de Maconha com grande estrutura é descoberta pela polícia em Brotas de Macaúbas;8/20/2025;Brotas   Macaúbas
COMBATE AO NARCOTRÁFICO: Operação desarticula novo grande plantio de maconha na Paraíba;1/23/2026;Região do cariri
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);regiões da Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Maranhão
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Pará
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);regiões da Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Maranhão
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Pará
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);regiões da Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Maranhão
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Pará
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);regiões da Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Maranhão
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Pará
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);regiões da Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Maranhão
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Pará
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);regiões da Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Maranhão
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Pará
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);regiões da Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Maranhão
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Pará
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Amazônia
