Titulo da reportagem;data;municipio_lista
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;Droga veio   Belém
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;Droga veio   Belém
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;Droga veio   Belém
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
Polícia Federal erradica mais de 190 mil pés de maconha e destrói 63 toneladas da droga em operação no sertão de Pernambuco;3/8/2024;Carnaubeira   Penha
PF e forças estaduais erradicam 13 mil pés de maconha no sertão de Pernambuco;7/7/2025;Carnaubeira   Penha
Polícia encontra estufa com plantação de 300 pés de maconha no Complexo da Maré;7/23/2025;Rio   Janeiro
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
PF destrói milhares de pés de maconha em três estados do Nordeste ;8/11/2025;localidades do Piauí
